Kecamatan,Jumlah Karyawan,Aset,Omset,Tahun Berdiri,Keterangan,,,,,,,,,,,,
Andir,2,3000000,9000000,1985,Mikro,,,,,,,,,,,,
Andir,2,3000000,4200000,1999,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1990,Mikro,,,,,,,,,,,,
Andir,2,20000000,9000000,1977,Mikro,,,,,,,,,,,,
Andir,0,3000000,9000000,1997,Mikro,,,,,,,,,,,,
Andir,1,3000000,2400000,1996,Mikro,,,,,,,,,,,,
Andir,0,3000000,9000000,1988,Mikro,,,,,,,,,,,,
Andir,2,3000000,4200000,1993,Mikro,,,,,,,,,,,,
Andir,1,3000000,2400000,1997,Mikro,,,,,,,,,,,,
Andir,0,3000000,9000000,1992,Mikro,,,,,,,,,,,,
Andir,2,3000000,4200000,1991,Mikro,,,,,,,,,,,,
Andir,1,3000000,9000000,1991,Mikro,,,,,,,,,,,,
Andir,0,3000000,9000000,2000,Mikro,,,,,,,,,,,,
Andir,3,10000000,2400000,1996,Mikro,,,,,,,,,,,,
Andir,0,3000000,9000000,2000,Mikro,,,,,,,,,,,,
Andir,0,3000000,4200000,2002,Mikro,,,,,,,,,,,,
Andir,2,11000000,4200000,2001,Mikro,,,,,,,,,,,,
Andir,1,3000000,9000000,2002,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1999,Mikro,,,,,,,,,,,,
Andir,2,3000000,2400000,2002,Mikro,,,,,,,,,,,,
Andir,1,10000000,2400000,1995,Mikro,,,,,,,,,,,,
Andir,1,3000000,2400000,1998,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1970,Mikro,,,,,,,,,,,,
Andir,4,3000000,4200000,1980,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1995,Mikro,,,,,,,,,,,,
Andir,3,3000000,9000000,1975,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1970,Mikro,,,,,,,,,,,,
Andir,1,3000000,4200000,1999,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1995,Mikro,,,,,,,,,,,,
Andir,1,3000000,2400000,1995,Mikro,,,,,,,,,,,,
Andir,1,3000000,9000000,1998,Mikro,,,,,,,,,,,,
Andir,1,3000000,4200000,1989,Mikro,,,,,,,,,,,,
Andir,1,3000000,4200000,1999,Mikro,,,,,,,,,,,,
Andir,1,3000000,9000000,1968,Mikro,,,,,,,,,,,,
Andir,1,3000000,4200000,1988,Mikro,,,,,,,,,,,,
Andir,4,3000000,9000000,2002,Mikro,,,,,,,,,,,,
Andir,2,3000000,9000000,1995,Mikro,,,,,,,,,,,,
Andir,2,3000000,4200000,1998,Mikro,,,,,,,,,,,,
Andir,2,3000000,4200000,1978,Mikro,,,,,,,,,,,,
Andir,1,3000000,2400000,1985,Mikro,,,,,,,,,,,,
Andir,0,-,162000000,2006,Mikro,,,,,,,,,,,,
Andir,0,-,144000000,1990,Mikro,,,,,,,,,,,,
Andir,3,2000000,144000000,2000,Mikro,,,,,,,,,,,,
Andir,0,-,120000000,1989,Mikro,,,,,,,,,,,,
Andir,0,-,96000000,2003,Mikro,,,,,,,,,,,,
Andir,0,-,60000000,1998,Mikro,,,,,,,,,,,,
Andir,0,-,48000000,1975,Mikro,,,,,,,,,,,,
Andir,0,-,24000000,2004,Mikro,,,,,,,,,,,,
Andir,0,-,24000000,1988,Mikro,,,,,,,,,,,,
Andir,0,-,18000000,1997,Mikro,,,,,,,,,,,,
Andir,0,-,18000000,2007,Mikro,,,,,,,,,,,,
Andir,0,-,18000000,2005,Mikro,,,,,,,,,,,,
Andir,0,-,12000000,1987,Mikro,,,,,,,,,,,,
Andir,0,-,12000000,2004,Mikro,,,,,,,,,,,,
Andir,0,-,12000000,2007,Mikro,,,,,,,,,,,,
Andir,0,-,-,1987,Mikro,,,,,,,,,,,,
Andir,0,-,-,2007,Mikro,,,,,,,,,,,,
