Kecamatan,Jumlah Karyawan,Aset,Omset,Lama Berdiri(Tahun),Kategori Usaha
Andir,2,3000000.0,9000000.0,34.0,Mikro
Andir,2,3000000.0,4200000.0,20.0,Mikro
Andir,2,3000000.0,9000000.0,29.0,Mikro
Andir,2,20000000.0,9000000.0,42.0,Mikro
Andir,0,3000000.0,9000000.0,22.0,Mikro
Andir,1,3000000.0,2400000.0,23.0,Mikro
Andir,0,3000000.0,9000000.0,31.0,Mikro
Andir,2,3000000.0,4200000.0,26.0,Mikro
Andir,1,3000000.0,2400000.0,22.0,Mikro
Andir,0,3000000.0,9000000.0,27.0,Mikro
Andir,2,3000000.0,4200000.0,28.0,Mikro
Andir,1,3000000.0,9000000.0,28.0,Mikro
Andir,0,3000000.0,9000000.0,19.0,Mikro
Andir,3,10000000.0,2400000.0,23.0,Mikro
Andir,0,3000000.0,9000000.0,19.0,Mikro
Andir,0,3000000.0,4200000.0,17.0,Mikro
Andir,2,11000000.0,4200000.0,18.0,Mikro
Andir,1,3000000.0,9000000.0,17.0,Mikro
Andir,2,3000000.0,9000000.0,20.0,Mikro
Andir,2,3000000.0,2400000.0,17.0,Mikro
Andir,1,10000000.0,2400000.0,24.0,Mikro
Andir,1,3000000.0,2400000.0,21.0,Mikro
Andir,2,3000000.0,9000000.0,49.0,Mikro
Andir,4,3000000.0,4200000.0,39.0,Mikro
Andir,2,3000000.0,9000000.0,24.0,Mikro
Andir,3,3000000.0,9000000.0,44.0,Mikro
Andir,2,3000000.0,9000000.0,49.0,Mikro
Andir,1,3000000.0,4200000.0,20.0,Mikro
Andir,2,3000000.0,9000000.0,24.0,Mikro
Andir,1,3000000.0,2400000.0,24.0,Mikro
Andir,1,3000000.0,9000000.0,21.0,Mikro
Andir,1,3000000.0,4200000.0,30.0,Mikro
Andir,1,3000000.0,4200000.0,20.0,Mikro
Andir,1,3000000.0,9000000.0,51.0,Mikro
Andir,1,3000000.0,4200000.0,31.0,Mikro
Andir,4,3000000.0,9000000.0,17.0,Mikro
Andir,2,3000000.0,9000000.0,24.0,Mikro
Andir,2,3000000.0,4200000.0,21.0,Mikro
Andir,2,3000000.0,4200000.0,41.0,Mikro
Andir,1,3000000.0,2400000.0,34.0,Mikro
Andir,3,2000000.0,144000000.0,19.0,Mikro
Andir,0,200000000.0,720000000.0,18.0,Kecil
Andir,12,100000000.0,240000000.0,39.0,Kecil
Andir,10,150000000.0,100000000.0,35.0,Kecil
Andir,2,13000000.0,130000000.0,16.0,Mikro
Andir,4,35000000.0,100000000.0,21.0,Mikro
Andir,7,60000000.0,150000000.0,22.0,Kecil
Andir,8,60000000.0,240000000.0,21.0,Kecil
Andir,2,12000000.0,36000000.0,11.0,Mikro
Andir,16,400000000.0,1218800000.0,25.0,Kecil
Andir,10,200000000.0,600000000.0,33.0,Kecil
Andir,20,100000000.0,500000000.0,21.0,Kecil
Andir,25,35000000.0,600000000.0,23.0,Mikro
Andir,11,15000000.0,500000000.0,10.0,Kecil
Andir,2,1000000.0,24000000.0,12.0,Mikro
Andir,3,25000000.0,120000000.0,18.0,Mikro
Andir,5,2000000.0,7200000.0,9.0,Mikro
Andir,3,8000000.0,12000000.0,10.0,Mikro
Andir,2,3000000.0,4000000.0,9.0,Mikro
Andir,2,10000000.0,9000000.0,14.0,Mikro
Andir,2,1000000.0,6000000.0,11.0,Mikro
Andir,5,8000000.0,6000000.0,12.0,Mikro
Andir,3,30000000.0,24000000.0,12.0,Mikro
Andir,3,1500000.0,8000000.0,7.0,Mikro
Andir,5,5000000.0,25000000.0,5.0,Mikro
Andir,18,15000000.0,250000000.0,10.0,Mikro
Andir,1,15000000.0,50000000.0,6.0,Mikro
Andir,1,20000000.0,200000000.0,13.0,Mikro
Andir,114,200000000000.0,11000000000.0,27.0,Menengah
Antapani,6,80000000.0,300000000.0,20.0,Kecil
Antapani,1,5000000.0,216000000.0,22.0,Mikro
Antapani,6,2000000.0,180000000.0,24.0,Mikro
Antapani,0,15000000.0,180000000.0,16.0,Mikro
Antapani,4,250000000.0,60000000.0,21.0,Kecil
Antapani,1,7300000.0,54000000.0,13.0,Mikro
Antapani,2,1000000.0,48000000.0,13.0,Mikro
Antapani,6,4300000.0,36000000.0,12.0,Mikro
Antapani,2,1500000.0,24000000.0,19.0,Mikro
Antapani,1,7500000.0,18000000.0,17.0,Mikro
Antapani,1,2000000.0,12000000.0,34.0,Mikro
Antapani,0,300000000.0,3600000.0,14.0,Kecil
Antapani,20,280000000.0,1800000000.0,29.0,Kecil
Antapani,4,5000000.0,480000000.0,12.0,Mikro
Antapani,5,9700000.0,360000000.0,27.0,Mikro
Antapani,3,300000000.0,360000000.0,20.0,Kecil
Antapani,6,150000000.0,360000000.0,27.0,Kecil
Antapani,11,25000000.0,30000000.0,13.0,Mikro
Antapani,1,1000000.0,10000000.0,15.0,Mikro
Antapani,1,7000000.0,10000000.0,23.0,Mikro
Antapani,10,20000000.0,55000000.0,15.0,Mikro
Antapani,3,100000000.0,270000000.0,27.0,Kecil
Antapani,2,50000000.0,100000000.0,25.0,Mikro
Antapani,1,60000000.0,75000000.0,24.0,Kecil
Antapani,2,2500000.0,13000000.0,12.0,Mikro
Antapani,5,30000000.0,450000000.0,14.0,Mikro
Antapani,1,15000000.0,36000000.0,14.0,Mikro
Antapani,5,33000000.0,240000000.0,9.0,Mikro
Antapani,4,17000000.0,30000000.0,9.0,Mikro
Antapani,2,3000000.0,10000000.0,8.0,Mikro
Antapani,2,18000000.0,152000000.0,13.0,Mikro
Antapani,2,10000000.0,60000000.0,9.0,Mikro
Antapani,1,750000.0,9500000.0,7.0,Mikro
